timestamp,forecast_demand_mw,lower_90_mw,upper_90_mw
2026-07-28 01:00:00,15852.851678751565,14755.41287055384,17414.803241091708
2026-07-28 02:00:00,15670.941112775907,14573.502304578182,17232.89267511605
2026-07-28 03:00:00,15666.015045514163,14568.576237316438,17227.966607854305
2026-07-28 04:00:00,16053.975714221444,14956.536906023719,17615.927276561586
2026-07-28 05:00:00,16548.560827426045,15451.12201922832,18110.512389766187
2026-07-28 06:00:00,17550.744014438704,16453.305206240977,19112.695576778846
2026-07-28 07:00:00,18618.752388085133,17521.313579887406,20180.703950425275
2026-07-28 08:00:00,19270.207349554723,18172.768541357,20832.158911894865
2026-07-28 09:00:00,19791.436984133885,18693.99817593616,21353.388546474027
2026-07-28 10:00:00,20566.986384935764,19469.54757673804,22128.937947275906
2026-07-28 11:00:00,21357.95969176649,20260.520883568766,22919.91125410663
2026-07-28 12:00:00,22586.316678243067,21488.87787004534,24148.26824058321
2026-07-28 13:00:00,22582.59309440587,21485.154286208148,24144.544656746013
2026-07-28 14:00:00,22631.961802197082,21534.52299399936,24193.913364537224
2026-07-28 15:00:00,22801.564072837296,21704.125264639573,24363.51563517744
2026-07-28 16:00:00,23298.192805485534,22200.753997287808,24860.144367825676
2026-07-28 17:00:00,23218.28188673595,22120.843078538222,24780.23344907609
2026-07-28 18:00:00,23202.917944214594,22105.479136016867,24764.869506554736
2026-07-28 19:00:00,22528.853945988198,21431.41513779047,24090.80550832834
2026-07-28 20:00:00,21782.625583328932,20685.18677513121,23344.577145669075
2026-07-28 21:00:00,20097.206125580917,18999.767317383194,21659.15768792106
2026-07-28 22:00:00,19089.634750608493,17992.19594241077,20651.586312948635
2026-07-28 23:00:00,17976.93715925376,16879.498351056034,19538.888721593903
2026-07-29 00:00:00,17081.425307902162,15983.986499704437,18643.376870242304
