timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-05-30 00:00:00,12762,12626.582077895933,12694.0,11529.143269698208,14188.533640236077,135.41792210406675
2026-05-30 01:00:00,12642,12496.335417278178,12358.0,11398.896609080453,14058.286979618322,145.66458272182172
2026-05-30 02:00:00,12518,12434.065580379607,12172.0,11336.626772181882,13996.017142719751,83.93441962039287
2026-05-30 03:00:00,12326,12421.025910599761,12168.0,11323.587102402036,13982.977472939905,95.02591059976112
2026-05-30 04:00:00,12490,12397.424754690723,12185.0,11299.985946492998,13959.376317030867,92.5752453092773
2026-05-30 05:00:00,12369,12930.849463025741,12323.0,11833.410654828016,14492.801025365885,561.849463025741
2026-05-30 06:00:00,12801,13297.23108782883,12861.0,12199.792279631105,14859.182650168974,496.2310878288299
2026-05-30 07:00:00,13137,13478.55837776521,13571.0,12381.119569567485,15040.509940105354,341.55837776521
2026-05-30 08:00:00,13184,13806.130775289119,14276.0,12708.691967091394,15368.082337629263,622.1307752891189
2026-05-30 09:00:00,13356,14023.153400602921,14751.0,12925.714592405197,15585.104962943065,667.1534006029215
2026-05-30 10:00:00,13618,14574.487427544356,15360.0,13477.048619346631,16136.4389898845,956.4874275443563
2026-05-30 11:00:00,13712,14742.33354530442,15420.0,13644.894737106695,16304.285107644564,1030.33354530442
2026-05-30 12:00:00,13573,14807.652411339486,15583.0,13710.213603141761,16369.60397367963,1234.6524113394862
2026-05-30 13:00:00,13540,14806.989624859254,15561.0,13709.55081666153,16368.941187199398,1266.989624859254
2026-05-30 14:00:00,13640,14799.994293431742,15656.0,13702.555485234017,16361.945855771886,1159.9942934317423
2026-05-30 15:00:00,14205,15092.135790665074,15837.0,13994.696982467349,16654.087353005216,887.1357906650737
2026-05-30 16:00:00,15102,15600.026599537343,16087.0,14502.587791339618,17161.978161877487,498.0265995373429
2026-05-30 17:00:00,15533,15736.991009988946,15961.0,14639.55220179122,17298.942572329088,203.99100998894573
2026-05-30 18:00:00,15808,15678.757690713564,15742.0,14581.31888251584,17240.70925305371,129.24230928643556
2026-05-30 19:00:00,15479,15604.62409196635,15693.0,14507.185283768626,17166.575654306493,125.62409196635053
2026-05-30 20:00:00,15229,15425.220833510686,15408.0,14327.782025312961,16987.17239585083,196.22083351068613
2026-05-30 21:00:00,14658,14474.909234757213,14605.0,13377.470426559488,16036.860797097357,183.0907652427868
2026-05-30 22:00:00,13873,13777.217857977543,13907.0,12679.779049779818,15339.169420317687,95.78214202245726
2026-05-30 23:00:00,13180,12956.98687914068,13234.0,11859.548070942956,14518.938441480825,223.01312085931932
2026-05-31 00:00:00,12652,12324.655703468263,12654.0,11227.216895270538,13886.607265808407,327.3442965317372
2026-05-31 01:00:00,12313,12221.839988904238,12490.0,11124.401180706513,13783.791551244381,91.16001109576246
2026-05-31 02:00:00,12116,12070.528099916986,12339.0,10973.089291719261,13632.47966225713,45.47190008301368
2026-05-31 03:00:00,11972,11908.702082066391,12288.0,10811.263273868666,13470.653644406535,63.297917933608915
2026-05-31 04:00:00,11896,11963.679237768749,12535.0,10866.240429571024,13525.630800108893,67.67923776874886
2026-05-31 05:00:00,11884,11942.572621981646,12931.0,10845.133813783921,13504.52418432179,58.57262198164608
2026-05-31 06:00:00,12240,12417.38982695822,13412.0,11319.951018760496,13979.341389298364,177.3898269582205
2026-05-31 07:00:00,12721,12841.367057522539,14100.0,11743.928249324814,14403.318619862683,120.36705752253874
2026-05-31 08:00:00,13040,13023.173751328753,14698.0,11925.734943131029,14585.125313668897,16.826248671246503
2026-05-31 09:00:00,13384,13229.565244341316,14963.0,12132.126436143591,14791.51680668146,154.43475565868357
2026-05-31 10:00:00,13574,13515.755081377554,15087.0,12418.31627317983,15077.706643717698,58.244918622445766
2026-05-31 11:00:00,13850,13597.966228690757,15178.0,12500.527420493032,15159.9177910309,252.0337713092431
2026-05-31 12:00:00,14177,13609.70719733173,15204.0,12512.268389134006,15171.658759671875,567.2928026682694
2026-05-31 13:00:00,13932,13588.012890033115,15102.0,12490.57408183539,15149.964452373259,343.9871099668853
2026-05-31 14:00:00,14276,13623.0395767156,15336.0,12525.600768517876,15184.991139055744,652.9604232843994
2026-05-31 15:00:00,14985,14471.308416608314,15734.0,13373.869608410589,16033.259978948458,513.6915833916864
2026-05-31 16:00:00,15952,15326.017110329169,16203.0,14228.578302131444,16887.96867266931,625.9828896708314
2026-05-31 17:00:00,16533,15698.614850285732,16030.0,14601.176042088007,17260.566412625874,834.3851497142678
