date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2022-02-13,17488.833333333332,20272,15678,419.732,18,0.8627088266245724
2022-02-14,18348.875,20918,16258,440.373,18,0.8771811358638493
2022-02-15,17823.125,20188,16068,427.755,18,0.8828573905290271
2022-02-16,16702.583333333332,18583,14900,400.862,17,0.8988098441227644
2022-02-17,17084.833333333332,19525,13879,410.036,18,0.8750234741784036
2022-02-18,17482.375,19277,15259,419.577,18,0.9069033044560876
2022-02-19,16754.625,19470,14799,402.111,18,0.860535439137134
2022-02-20,15815.916666666666,17474,14750,379.582,18,0.9051114036091716
2022-02-21,15465.791666666666,17654,13824,371.179,18,0.8760502813337865
2022-02-22,16922.166666666668,19080,13991,406.132,17,0.8869060097833683
2022-02-23,17218.75,20059,13964,413.25,18,0.8584052046462934
2022-02-24,17554.75,19861,15688,421.314,19,0.8838804692613665
2022-02-25,18098.375,19878,15470,434.361,18,0.9104726330616763
2022-02-26,16556.041666666668,18182,15138,397.345,18,0.9105731859348074
2022-02-27,16012.458333333334,18662,14061,384.299,18,0.8580247740506556
2022-02-28,17466.625,19996,15298,419.199,18,0.873505951190238
2022-03-01,17200.916666666668,18818,15105,412.822,18,0.914067205158182
2022-03-02,16713.5,19307,14664,401.124,18,0.8656704822085254
2022-03-03,17140.666666666668,19763,14617,411.376,19,0.8673109683077805
2022-03-04,16868.083333333332,18664,15421,404.834,18,0.9037764323474782
2022-03-05,15607.375,17733,14216,374.577,18,0.8801316754074324
2022-03-06,14315.5,16875,12903,343.572,18,0.8483259259259259
2022-03-07,16770.541666666668,18919,13494,402.493,19,0.8864391176418769
2022-03-08,16495.833333333332,18690,14368,395.9,19,0.8826021045122168
2022-03-09,16189.916666666666,18124,14177,388.558,19,0.893286066357684
2022-03-10,16080.958333333334,18326,14108,385.943,19,0.8774941794899779
2022-03-11,16963.291666666668,18874,14307,407.119,18,0.8987650559853061
2022-03-12,15997.25,18159,13876,383.934,19,0.8809543477063715
2022-03-13,16211.791666666666,18143,14603,389.083,18,0.8935562843337191
2022-03-14,16302.833333333334,17985,14534,391.268,18,0.9064683532573441
2022-03-15,16470.875,17887,13947,395.301,18,0.9208293732878627
2022-03-16,15785.75,17338,13917,378.858,8,0.910471219287115
2022-03-17,14797.208333333334,16353,13438,355.133,7,0.904862002894474
2022-03-18,14949.291666666666,16541,12724,358.783,8,0.9037719404308485
2022-03-19,14702.458333333334,16344,12285,352.859,10,0.8995630404633709
2022-03-20,14080.958333333334,16207,12600,337.943,19,0.8688195429958249
2022-03-21,14985.875,16933,13107,359.661,19,0.8850100395677081
2022-03-22,15278.041666666666,16982,13424,366.673,18,0.8996609154791347
2022-03-23,16045.375,18107,13125,385.089,18,0.8861420997404319
2022-03-24,15569.916666666666,16940,13292,373.678,19,0.9191214088941362
2022-03-25,15527.291666666666,16993,12857,372.655,16,0.9137463465348477
2022-03-26,14749.208333333334,16024,12793,353.981,18,0.9204448535530039
2022-03-27,15321.333333333334,17612,12993,367.712,19,0.8699371640548111
2022-03-28,16896.958333333332,19011,14648,405.527,19,0.888799028632546
2022-03-29,16363.916666666666,18071,14858,392.734,6,0.9055346503606145
2022-03-30,16634.666666666668,18162,14077,399.232,16,0.9159050031200676
2022-03-31,15350.541666666666,16784,13341,368.413,19,0.9145937599300921
2022-04-01,15679.75,17251,13296,376.314,19,0.9089183235754449
2022-04-02,14559.833333333334,16022,13608,349.436,19,0.9087400657429369
2022-04-03,14550.125,16321,12830,349.203,19,0.8914971509098707
2022-04-04,15293.25,17077,13310,367.038,18,0.8955466416817942
2022-04-05,14776.416666666666,16315,12923,354.634,7,0.9056951680457657
2022-04-06,14597.875,16308,12366,350.349,19,0.8951358229090017
2022-04-07,14627.5,16254,12225,351.06,19,0.899932324350929
2022-04-08,14705.375,16094,12699,352.929,19,0.9137178451596868
2022-04-09,14238.708333333334,15716,12688,341.729,18,0.9060007847628744
2022-04-10,13736.333333333334,15508,12358,329.672,19,0.8857578884016852
2022-04-11,14501.916666666666,16430,12446,348.046,18,0.8826486102657739
2022-04-12,13868.583333333334,15422,12360,332.846,19,0.8992726840444387
2022-04-13,14190.875,15731,11572,340.581,19,0.9020961795181489
2022-04-14,13622.25,15146,11481,326.934,8,0.8993958801003565
2022-04-15,12900.416666666666,14288,11518,309.61,19,0.9028847051138484
2022-04-16,13305.25,15103,11954,319.326,19,0.8809673574786466
2022-04-17,13352.208333333334,14924,12048,320.453,19,0.8946802689180738
2022-04-18,14854.208333333334,17256,12507,356.501,16,0.8608141129655386
2022-04-19,15412.458333333334,16953,13165,369.899,19,0.9091286694586995
2022-04-20,14660.25,16269,13257,351.846,19,0.9011156186612576
2022-04-21,14779.5,16360,12642,354.708,9,0.9033924205378973
2022-04-22,14107.0,15576,12425,338.568,19,0.9056882383153569
2022-04-23,13518.875,14834,11992,324.453,11,0.9113438721855197
2022-04-24,12629.458333333334,14414,11717,303.107,19,0.8761938624485455
2022-04-25,14340.791666666666,16108,11430,344.179,16,0.8902900215213972
2022-04-26,14621.708333333334,16334,12174,350.921,19,0.8951700950981593
2022-04-27,15056.166666666666,17060,12722,361.348,19,0.8825420085971082
2022-04-28,14445.875,16069,13227,346.701,19,0.8989902918663265
2022-04-29,13958.708333333334,15277,12606,335.009,19,0.9137074251052781
2022-04-30,12818.625,14250,11759,307.647,19,0.8995526315789474
2022-05-01,12949.375,15045,11176,310.785,19,0.8607095380525092
2022-05-02,14598.875,16233,11717,350.373,16,0.8993331485246103
2022-05-03,14448.125,16376,12068,346.755,16,0.8822743649242795
2022-05-04,13976.083333333334,15465,11756,335.426,19,0.9037234615799117
2022-05-05,13776.708333333334,15759,11957,330.641,19,0.8742120904456713
