feature,importance_mae
lag_24h,1857.4881654568203
day_of_week,23.376001842768517
hour_cos,20.34200628200159
hour_sin,14.338578417152291
month,6.333118222329915
lag_48h,4.583071215680775
week_sin,2.6962622155988925
is_weekend,0.0
hour,-2.7422008210066338
week_cos,-23.763263910939884
rolling_mean_168h_safe,-31.205436562045065
lag_168h,-38.04279984866457
rolling_mean_24h_safe,-38.85516782030459
day_of_year,-159.30170015381788
